(0, 91)
(0, 88)
(0, 49)
(0, 10)
(0, 7)
(1, 3)
(6, 1)
(9, 0)
(34, 0)
(48, 0)
(64, 0)
(77, 0)
(81, 0)
(92, 0)
(97, 2)
(98, 3)
(99, 10)
(99, 25)
(99, 85)
(98, 89)
(96, 97)
(86, 99)
(67, 99)
(48, 99)
(21, 99)
(2, 99)
(0, 87)
(0, 13)
(1, 5)
(4, 3)
(13, 0)
(58, 0)
(78, 0)
(89, 0)
(91, 0)
(97, 6)
(98, 30)
(98, 81)
(97, 92)
(92, 97)
(89, 98)
(79, 99)
(53, 99)
(10, 99)
(4, 99)
(0, 69)
(1, 23)
(2, 7)
(4, 5)
(14, 1)
(66, 0)
(79, 1)
(89, 2)
(91, 4)
(92, 5)
(97, 12)
(98, 32)
(98, 70)
(97, 89)
(93, 95)
(87, 97)
(78, 99)
(53, 99)
(10, 98)
(5, 95)
(1, 89)
(0, 80)
(1, 50)
(1, 42)
(1, 23)
(2, 16)
(3, 11)
(7, 7)
(11, 4)
(14, 3)
(18, 2)
(24, 1)
(55, 1)
(70, 2)
(91, 4)
(97, 12)
(98, 45)
(98, 47)
(97, 80)
(96, 83)
(92, 93)
(87, 96)
(81, 98)
(61, 99)
(14, 98)
(5, 93)
(4, 92)
(1, 82)
(1, 77)
(1, 50)
(1, 27)
(2, 23)
(11, 4)
(18, 3)
(50, 1)
(77, 3)
(90, 4)
(93, 8)
(97, 16)
(98, 46)
(96, 81)
(95, 85)
(93, 90)
(90, 93)
(86, 96)
(80, 97)
(59, 98)
(50, 98)
(18, 97)
(10, 95)
(5, 91)
(2, 85)
(1, 63)
(2, 25)
(3, 22)
(12, 8)
(22, 4)
(58, 2)
(71, 3)
(87, 5)
(88, 6)
(96, 16)
(97, 18)
(97, 19)
(96, 74)
(94, 87)
(91, 92)
(84, 95)
(80, 96)
(59, 98)
(50, 98)
(20, 97)
(15, 96)
(12, 95)
(9, 93)
(7, 91)
(4, 86)
(2, 80)
(2, 53)
(2, 50)
(2, 34)
(2, 32)
(3, 27)
(8, 15)
(13, 8)
(21, 5)
(48, 3)
(86, 5)
(91, 12)
(96, 21)
(96, 22)
(96, 67)
(96, 73)
(92, 89)
(83, 94)
(79, 96)
(64, 97)
(36, 97)
(28, 97)
(17, 96)
(14, 94)
(5, 85)
(2, 73)
(2, 62)
(2, 61)
(2, 55)
(3, 29)
(9, 15)
